time,pitch,force,vel_a,vel_b
1776095456.2518911,,,0.0,0.0
1776095456.2542498,,,0.0,0.0
1776095456.256729,,,0.0,0.0
1776095456.2592604,,,0.0,0.0
1776095456.2617414,,,0.0,0.0
1776095456.2642279,,,0.0,0.0
1776095456.2668598,,,0.0,0.0
1776095456.269309,,,0.0,0.0
1776095456.2717977,,,0.0,0.0
1776095456.2742677,,,0.0,0.0
1776095456.2771003,,,0.0,0.0
1776095456.2792962,,,0.0,0.0
1776095456.281842,,,0.0,0.0
1776095456.284312,,,0.0,0.0
1776095456.2868726,,,0.0,0.0
1776095456.2893167,,,0.0,0.0
1776095456.2918122,,,0.0,0.0
1776095456.2942698,,,0.0,0.0
1776095456.2967923,,,0.0,0.0
1776095456.299275,,,0.0,0.0
1776095456.3017948,,,0.0,0.0
1776095456.3043609,,,0.0,0.0
1776095456.3068433,,,0.0,0.0
1776095456.3093324,,,0.0,0.0
1776095456.311869,,,0.0,0.0
1776095456.3143363,,,0.0,0.0
1776095456.3168545,,,0.0,0.0
1776095456.3192782,,,0.0,0.0
1776095456.3217876,,,0.0,0.0
1776095456.3242838,,,0.0,0.0
1776095456.3267941,,,0.0,0.0
1776095456.329344,,,0.0,0.0
1776095456.3318157,,,0.0,0.0
1776095456.3342927,,,0.0,0.0
1776095456.336795,,,0.0,0.0
1776095456.339292,,,0.0,0.0
1776095456.3417938,,,0.0,0.0
1776095456.3443592,,,0.0,0.0
1776095456.3468425,,,0.0,0.0
1776095456.3492978,,,0.0,0.0
1776095456.3518617,,,0.0,0.0
1776095456.3542962,,,0.0,0.0
1776095456.3568056,,,0.0,0.0
1776095456.3592906,,,0.0,0.0
1776095456.3618145,,,0.0,0.0
1776095456.3642728,,,0.0,0.0
1776095456.366982,,,0.0,0.0
1776095456.3692882,,,0.0,0.0
1776095456.371801,,,0.0,0.0
1776095456.3742592,,,0.0,0.0
1776095456.3768797,,,0.0,0.0
1776095456.3793066,,,0.0,0.0
1776095456.381811,,,0.0,0.0
1776095456.3842854,,,0.0,0.0
1776095456.3868504,,,0.0,0.0
1776095456.3893294,,,0.0,0.0
1776095456.391843,,,0.0,0.0
1776095456.394301,,,0.0,0.0
1776095456.396815,,,0.0,0.0
1776095456.3992815,,,0.0,0.0
1776095456.4018023,,,0.0,0.0
1776095456.404318,,,0.0,0.0
1776095456.4068496,,,0.0,0.0
1776095456.409347,,,0.0,0.0
1776095456.4118283,,,0.0,0.0
1776095456.4143145,,,0.0,0.0
1776095456.4168212,,,0.0,0.0
1776095456.4192867,,,0.0,0.0
1776095456.4217834,,,0.0,0.0
1776095456.4242895,,,0.0,0.0
1776095456.42681,,,0.0,0.0
1776095456.4293172,,,0.0,0.0
1776095456.4318306,,,0.0,0.0
1776095456.4343224,,,0.0,0.0
1776095456.4368513,,,0.0,0.0
1776095456.4392886,,,0.0,0.0
1776095456.4418263,,,0.0,0.0
1776095456.4443088,,,0.0,0.0
1776095456.4468117,,,0.0,0.0
1776095456.4493103,,,0.0,0.0
1776095456.4518266,,,0.0,0.0
1776095456.454317,,,0.0,0.0
1776095456.456821,,,0.0,0.0
1776095456.4593053,,,0.0,0.0
1776095456.4618168,,,0.0,0.0
1776095456.464326,,,0.0,0.0
1776095456.4668295,,,0.0,0.0
1776095456.4693108,,,0.0,0.0
1776095456.471837,,,0.0,0.0
1776095456.4742906,,,0.0,0.0
1776095456.4768038,,,0.0,0.0
1776095456.4793093,,,0.0,0.0
1776095456.4818158,,,0.0,0.0
1776095456.4843044,,,0.0,0.0
1776095456.4868164,,,0.0,0.0
1776095456.4893048,,,0.0,0.0
1776095456.4918277,,,0.0,0.0
1776095456.4943314,,,0.0,0.0
1776095456.4968462,,,0.0,0.0
1776095456.4992955,,,0.0,0.0
1776095456.5017917,,,0.0,0.0
1776095456.504291,,,0.0,0.0
1776095456.5067937,,,0.0,0.0
1776095456.5093107,,,0.0,0.0
1776095456.5118067,,,0.0,0.0
1776095456.5143144,,,0.0,0.0
1776095456.5168068,,,0.0,0.0
1776095456.5193083,,,0.0,0.0
1776095456.5218225,,,0.0,0.0
1776095456.5243082,,,0.0,0.0
1776095456.5268452,,,0.0,0.0
1776095456.5293083,,,0.0,0.0
1776095456.5318143,,,0.0,0.0
1776095456.5342884,,,0.0,0.0
1776095456.5368295,,,0.0,0.0
1776095456.5393112,,,0.0,0.0
1776095456.5418186,,,0.0,0.0
1776095456.5443103,,,0.0,0.0
1776095456.5468407,,,0.0,0.0
1776095456.5493267,,,0.0,0.0
1776095456.551824,,,0.0,0.0
1776095456.5543177,,,0.0,0.0
1776095456.5568469,,,0.0,0.0
1776095456.5592914,,,0.0,0.0
1776095456.5617929,,,0.0,0.0
1776095456.5642726,,,0.0,0.0
1776095456.5667946,,,0.0,0.0
1776095456.5692797,,,0.0,0.0
1776095456.571797,,,0.0,0.0
1776095456.5742922,,,0.0,0.0
1776095456.5768027,,,0.0,0.0
1776095456.579312,,,0.0,0.0
1776095456.5818288,,,0.0,0.0
1776095456.5842972,,,0.0,0.0
1776095456.5868351,,,0.0,0.0
1776095456.5892751,,,0.0,0.0
1776095456.5917897,,,0.0,0.0
1776095456.594281,,,0.0,0.0
1776095456.5967894,,,0.0,0.0
1776095456.5993838,,,0.0,0.0
1776095456.6018217,,,0.0,0.0
1776095456.6043072,,,0.0,0.0
1776095456.6069639,,,0.0,0.0
1776095456.6093585,,,0.0,0.0
1776095456.6118238,,,0.0,0.0
1776095456.614285,,,0.0,0.0
1776095456.6168296,,,0.0,0.0
1776095456.6193144,,,0.0,0.0
1776095456.6218169,,,0.0,0.0
1776095456.6242807,,,0.0,0.0
1776095456.6267877,,,0.0,0.0
1776095456.6292853,,,0.0,0.0
1776095456.6318026,,,0.0,0.0
1776095456.6343026,,,0.0,0.0
1776095456.6368136,,,0.0,0.0
1776095456.6393034,,,0.0,0.0
1776095456.6418164,,,0.0,0.0
1776095456.6442897,,,0.0,0.0
1776095456.6468344,,,0.0,0.0
1776095456.649304,,,0.0,0.0
1776095456.651798,,,0.0,0.0
1776095456.6542902,,,0.0,0.0
1776095456.6568189,,,0.0,0.0
1776095456.6593914,,,0.0,0.0
1776095456.6618414,,,0.0,0.0
1776095456.664336,,,0.0,0.0
1776095456.6668565,,,0.0,0.0
1776095456.6693635,,,0.0,0.0
1776095456.6718268,,,0.0,0.0
1776095456.6742883,,,0.0,0.0
1776095456.6768336,,,0.0,0.0
1776095456.6792839,,,0.0,0.0
1776095456.6817982,,,0.0,0.0
1776095456.6842828,,,0.0,0.0
1776095456.6867929,,,0.0,0.0
1776095456.6892853,,,0.0,0.0
1776095456.6918333,,,0.0,0.0
1776095456.694315,,,0.0,0.0
1776095456.696814,,,0.0,0.0
1776095456.6993165,,,0.0,0.0
1776095456.7018237,,,0.0,0.0
1776095456.7043102,,,0.0,0.0
1776095456.7068381,,,0.0,0.0
1776095456.7093065,,,0.0,0.0
1776095456.7118106,,,0.0,0.0
1776095456.71431,,,0.0,0.0
1776095456.7168124,,,0.0,0.0
1776095456.719295,,,0.0,0.0
1776095456.721814,,,0.0,0.0
1776095456.724287,,,0.0,0.0
1776095456.7269096,,,0.0,0.0
1776095456.7293053,,,0.0,0.0
1776095456.731808,,,0.0,0.0
1776095456.7343047,,,0.0,0.0
1776095456.7368352,,,0.0,0.0
1776095456.7392747,,,0.0,0.0
1776095456.7417996,,,0.0,0.0
1776095456.7442832,,,0.0,0.0
1776095456.746788,,,0.0,0.0
1776095456.749275,,,0.0,0.0
1776095456.7518158,,,0.0,0.0
1776095456.754304,,,0.0,0.0
1776095456.7568097,,,0.0,0.0
1776095456.7593238,,,0.0,0.0
1776095456.7618227,,,0.0,0.0
1776095456.7643368,,,0.0,0.0
1776095456.7668324,,,0.0,0.0
1776095456.7692974,,,0.0,0.0
1776095456.771811,,,0.0,0.0
1776095456.7743123,,,0.0,0.0
1776095456.7768385,,,0.0,0.0
1776095456.7793114,,,0.0,0.0
1776095456.7818158,,,0.0,0.0
1776095456.784316,,,0.0,0.0
1776095456.78681,,,0.0,0.0
1776095456.7893236,,,0.0,0.0
1776095456.7918346,,,0.0,0.0
1776095456.7943192,,,0.0,0.0
1776095456.7968237,,,0.0,0.0
1776095456.7992883,,,0.0,0.0
1776095456.8018022,,,0.0,0.0
1776095456.8042786,,,0.0,0.0
1776095456.806783,,,0.0,0.0
1776095456.809272,,,0.0,0.0
1776095456.811788,,,0.0,0.0
1776095456.8143063,,,0.0,0.0
1776095456.8168008,,,0.0,0.0
1776095456.8192887,,,0.0,0.0
1776095456.8218143,,,0.0,0.0
1776095456.8243191,,,0.0,0.0
1776095456.8268657,,,0.0,0.0
1776095456.8294592,,,0.0,0.0
1776095456.8318338,,,0.0,0.0
1776095456.834299,,,0.0,0.0
1776095456.836801,,,0.0,0.0
1776095456.8392904,,,0.0,0.0
1776095456.8418038,,,0.0,0.0
1776095456.8443058,,,0.0,0.0
1776095456.846809,,,0.0,0.0
1776095456.849293,,,0.0,0.0
1776095456.851819,,,0.0,0.0
