time,pitch,force,vel_a,vel_b
1776099035.0778213,,0.020647817374328904,,
1776099035.0830514,,0.019410122292639057,,
1776099035.0860963,,0.017432185611165003,,
1776099035.086552,,,0.0,0.0
1776099035.0888388,,,0.0,0.0
1776099035.090382,,0.012445079928530368,,
1776099035.0913286,,,0.0,0.0
1776099035.093861,,,0.0,0.0
1776099035.0955958,,0.01323783553803562,,
1776099035.0963542,,,0.0,0.0
1776099035.0988455,,,0.0,0.0
1776099035.1004493,,0.01253774998560758,,
1776099035.1013632,,,0.0,0.0
1776099035.1039224,,,0.0,0.0
1776099035.1056073,,0.008118490162290382,,
1776099035.1064107,,,0.0,0.0
1776099035.108902,,,0.0,0.0
1776099035.1105745,,0.00787294593883803,,
1776099035.11157,,,0.0,0.0
1776099035.1139092,,,0.0,0.0
1776099035.1155603,,0.006810666176635797,,
1776099035.1163902,,,0.0,0.0
1776099035.1189117,,,0.0,0.0
1776099035.1208813,,0.007010411636925735,,
1776099035.1215718,,,0.0,0.0
1776099035.1238701,,,0.0,0.0
1776099035.1255457,,0.008723805986441414,,
1776099035.1263745,,,0.0,0.0
1776099035.128852,,,0.0,0.0
1776099035.1304173,,0.009284378965021748,,
1776099035.1313832,,,0.0,0.0
1776099035.1339004,,,0.0,0.0
1776099035.1356792,,0.004366743263286922,,
1776099035.1363955,,,0.0,0.0
1776099035.1389036,,,0.0,0.0
1776099035.140845,,0.007586281310096563,,
1776099035.1413867,,,0.0,0.0
1776099035.1439025,,,0.0,0.0
1776099035.1456883,,0.006053810597995636,,
1776099035.146383,,,0.0,0.0
1776099035.1488802,,,0.0,0.0
1776099035.1508057,,0.0016072851128049509,,
1776099035.15137,,,0.0,0.0
1776099035.1539109,,,0.0,0.0
1776099035.1558652,,0.0023044355190555152,,
1776099035.1564653,,,0.0,0.0
1776099035.1589298,,,0.0,0.0
1776099035.1609051,,0.0012666427592748053,,
1776099035.1614237,,,0.0,0.0
1776099035.1639326,,,0.0,0.0
1776099035.1658175,,0.002831501802203474,,
1776099035.166407,,,0.0,0.0
1776099035.1688898,,,0.0,0.0
1776099035.170562,,-0.001013760137481517,,
1776099035.1714017,,,0.0,0.0
1776099035.1738954,,,0.0,0.0
1776099035.1757038,,-0.00045247755382703405,,
1776099035.176379,,,0.0,0.0
1776099035.1789074,,,0.0,0.0
1776099035.1805725,,-0.001105975250887351,,
1776099035.1813884,,,0.0,0.0
1776099035.1839159,,,0.0,0.0
1776099035.1864038,,-0.00299292817052466,,
1776099035.1865866,,,0.0,0.0
1776099035.18895,,,0.0,0.0
1776099035.1914444,,,0.0,0.0
1776099035.1925864,0.0001945347649565304,,,
1776099035.193378,,-0.002551455999724332,,
1776099035.1940067,,,0.0,0.0
